Top 96 unrecognized tokens (min-count=5, similarity>=0.72):

count  token                      nearest               value  ratio  example
   10  check                      che                      6   0.75   'spent some money on health check'
   10  pan                        panch                    5   0.75   'twenty rupees on pan'
    9  sold                       sola                    16   0.75   'sold old phone got 3000 cash'
    9  soap                       sola                    16   0.75   '1500 toothpaste and soap'
    9  adhai                      athasi                  88   0.73   'Adhai hazaar electricity bill'
    8  atthattar                  athattar                78   0.94   'Ek sau atthattar ka ice cream'
    8  pandraah                   pandrah                 15   0.93   'Pandraah sau medical ka bill'
    8  chaliis                    chalis                  40   0.92   'Chaliis hazaar ka bike servicing'
    8  chah                       chhah                    6   0.89   'Chah sau pachaas ka dinner kal'
    8  nintyanve                  ninyanave               99   0.89   'WiFi ka bill nau sau nintyanve'
    8  pacchis                    pachas                  50   0.77   'Pacchis sau ka laptop repair'
    8  bazaar                     baara                   12   0.73   'teen hazaar pachaas ka bazaar'
    8  tyres                      teyees                  23   0.73   'sixty thousand on new tyres and general ca...'
    8  banana                     bavan                   52   0.73   'Paid forty-five rupees for a banana shake.'
    7  bhara                      bara                    12   0.89   'teen hazaar rent bhara'
    7  unhattar                   unsattar                69   0.88   'Do hazaar paanch sau unhattar for repairs'
    7  unchase                    unchaas                 49   0.86   'teen sau unchase ka lunch'
    7  baais                      bis                     20   0.75   'baais sau rupay ka dish soap'
    7  saree                      artees                  38   0.73   'chataalis sau ka saree'
    6  saatth                     saath                   60   0.91   'Do cup chai, saatth rupay'
    6  tiin                       tin                      3   0.86   'tiin hazaar bijli ka bill'
    6  bais                       bis                     20   0.86   'Bais rupay ka biscuit'
    6  paintis                    paintees                35   0.80   'Paintis hazaar for a sofa set'
    6  paratha                    arsath                  68   0.77   'paanch sau ka aloo paratha and lassi'
    6  chattis                    chalis                  40   0.77   'chattis sau ka chocalate daan'
    6  tires                      tis                     30   0.75   'seventy five thousand on tires'
    6  bhar                       char                     4   0.75   'Dedh lakh rupay bache ki school fees bhar di.'
    6  cola                       sola                    16   0.75   'Tees rupay ki cola'
    6  ikkis                      ikkees                  21   0.73   'ikkis sau rupay ka floor cleaner'
    5  pacchas                    pachas                  50   0.92   'Pacchas hazaar flat ka downpayment'
    5  beers                      bees                    20   0.89   'Saath sau fifty for a few beers'
    5  gintees                    taintees                33   0.80   'pchh gintees ka math tuition'
    5  atthais                    atthaees                28   0.80   'Atthais hazaar school fees'
    5  chaubis                    chhabbis                26   0.80   'Chaubis hazaar ka naya fridge'
    5  bawan                      bavan                   52   0.80   'bawan sau ka dawai'
    5  pchh                       chhe                     6   0.75   'pchh gintees ka math tuition'
    5  math                       sath                    60   0.75   'pchh gintees ka math tuition'
    5  pankha                     panch                    5   0.73   'talis sau ka pankha'
    5  graph                      gyarah                  11   0.73   '200 for graph paper and geometry box'
